A/S,Sæthre ved A/S Freia var kontaktutvalgets formann.
d.e.,uekte barn med hans eldre broder Peder Pedersen d.e. Killingberg.
d.m.,Hva er bruttolønna til Håvard d.m.? (Lønna før alle fratrekk).
d.s.,Dette er tekst før d.s. og etter forkortelsen.
d.y.,Og ingen kan beskylde verken Plinius d.y. eller Tacitus for manipulering. Mens deres hat til de
d.å.,"mars d.å. melde seg til den politimester eller lensmann sm har utstedt hans legitimasjonsbevis,"
dept.,Den formelle beslutningskompetansen tilkommer enten det enkelte dept. eller Kongen i statsråd.
des.,"Organisering av kriminalomsorgen, datert 1. des. 2014"
dfm.,"For å bli dfm. må en ha fylt 21 år, jf. domstolloven § 54."
dg.,Dette er tekst før dg. og etter forkortelsen.
dir.,"Forlagets dir., Harald Grieg, ble sommeren 1941 arrestert av nazistene, og forlaget ble den påfølgende høsten drevet"
disp.,"1960 Innkjøp avbolig til Disp. Hoemsveien 14, 62.000"
div.,venshaug Sigurd. Privatarkiv. Div. dokumenter og brev.
do.,ditto pron. (do.) dityrambe-en dityrambisk-div. (diverse)
dr.,Både dr. Wander og hans kollega hadde kort henvist til taushetsplikten.
dr.philos.,Delarbeid av avhandling levert for graden dr.philos. Universitetet i Tromsø.
ds.,Dette er tekst før ds. og etter forkortelsen.
dss.,Dette er tekst før dss. og etter forkortelsen.
dvs.,"var det brukt dobbelt så meget som nødvendig, dvs., han konfererte med notatene,"
e.Kr.,"Etter at jødenes tempel ble ødelagt av romerne i år 70 e.Kr., ble det aldri bygd"
e.f.,Dagleg leiar kan elles avgjere ei sak e.f. frå styret i det enkelte tilfellet eller når
e.g.,"Shows ability to identify resources for learning (e.g. people, books, internet)"
e.kr.,til 400 e.kr. arbeidet de fremste videnskapsmenn her og her lå biblioteket med den største samling av
e.l.,"Legg deg på gulvet med leggene oppå en stol, sofa e.l., så du får 90 graders vinkel"
eg.,"Erstatningskrav vil eg. være realisert når den erstatningsbetingede hendelse inntraff,"
eig.,Der får me opplyst at presten tok ei halv månadsmatbol (eig. den maten ein mann trong i ein halv
eks.,"Overnatting i kirken (eks. Lys Våken, Tårnagent)"
ekskl.,Privatforbruk ekskl. skatt Betalte skattar
eksp.,Brev fra Sjur Fuhr til eksp. sjef G. Sverdup Thygeson.
el.,"er noe man har lært i barndommen el. tidlig i utdannelsen,"
et.,"Hun bodde i fjerde et. i et tjuetallshus på Grünberger Strasse, bare noen kvartaler fra Philip."
etab.,"Firma ble etab. i 1923 som en elektrisk forretning og en sports-forretning, det ble også solgt radioapparater."
etabl.,"Firma ble etabl. i 1923 som en elektrisk forretning og en sports-forretning, det ble også solgt radioapparater."
etc.,"måtte våpen og ammunisjon fordeles, troppestyrker disponeres, transportoperasjoner planlegges etc. Drivstoff til transport til lands,"
ev.,"appelsinjuice presset av friske appelsiner salt, pepper og sitron salt og pepper 2 stjerneanis ev. urter"
evt.,"Et alvorlig hjerneødem kan klinisk evt. debutere med respirasjonsstans, og prognosen er da oftest dårlig, tross behandling."
ex.fac.,og ex.fac. (lingvistikk) ved Universitetet i Oslo i 1997 og 1998. Hun tok eksamen ved linja
ex.phil.,"Jeg tok ikke sjansen på å gå opp til ex.phil. til jul som planlagt, og jeg"
f.,Gunild f. 1728 g. 1748 m. Eivind Svends. Y.
f.Kr.,"plager, og skrifter fra rundt år 30 f.Kr. navngir Kilik-passet (4830 meter over havet)"
f.eks.,"må det påregnes nasjonale forskjeller i regelverket for andre selskaper med begrenset ansvar, f.eks. aksjeselskaper."
f.k.,Fullmakten kan ikke gjelde for lengre tid enn frem til f.k. ordinære generalforsamling.
f.kr.,Og i 121 f.kr. våget romerne seg for første gang gjennom Gibraltarstredet for å handle britisk tinn.
f.m.,"henviste til «våre forskjellige privatmeldinger angående behandlingen av religiøse spørsmål i pressen, senest av 11. f.m. som lyder"
f.nr.,"Hvis virksomheten har ansatte renholdere med statsborgerskap fra land utenfor EØSområdet, må det sendes navn og f.nr. til Arbeidstilsynet"
f.o.f.,Men f.o.f. ville det være viktig for KS å ha ordningen godtforankret i sin egen medlemsmasse.
f.o.m.,I ny SKTL 4-19 er det f.o.m. inntektsåret 2017 vedtatt en bestemmelse om gjeldsreduksjon for eiendel med verdsettelsesrabatt
f.t.,"Det er f.t. mykje rot med det her, også blant profesjonelle språkbrukarar."
f.å.,"Utbytte foreslås like stort som f.å., men noen mente denne satsen bør økes. Den store formuesverdien av"
f.ø.,Se f.ø. personalreglementet i Oslo kommune §11 som eksempel på et internt reglement med bestemmelser om
feb.,"Organisering av kriminalomsorgen, datert 1. feb. 2014"
ff.,289 ff. og Falkanger & Falkanger s. 811 note 1926. 
fhv.,"Mulige helseskader som følge av laveffekt elektromagnetisk stråling, notat fra Ole Petter Håkonsen, fhv. teknologidirektør i Televerket"
fig.,"I tillegg til IMCAtype kapasitetsplott (fig. 7.21) finnes også en US-standard som har fått en viss innpass,"
fl.,"Dessverre er store deler av bebyggelsen senere endret, og fl. hus er også revet. Likevel utgjør Vestersiden en"
flg.,Forslaget om faggrupper ble opprinnelig fremmet av Oppland krets med flg. begrunnelse:
foreg.,"Mens jeg i foreg. kapittel inntok et overordnet perspektiv på retorikken i de ulike tekstene, vil jeg i det"
forf.,De fikk sønnene Per Mortensson (direktør ved Kongsberg Sølvverk) og Ivar Mortensson Egnund (forf. og sogneprest)
fork.,"er en rettsendrende sak, og JSTO er en fork. på jordskifteretten som er lokalisert på Stord"
forts.,"Tabell 9 (forts.) Alle registrerte svinnårsaker, per tidsbolk og generasjon. Alle tall angitt som prosent av"
fr.,"Dette er ingen tigger, herr Reimfelt. Det er fr. Bøchmann som er kommet. "
framh.,Derimot vart eit framlegg til plan for toårig grunnutdanning i folkeskulen frå det nyskipa Lærarutdanningsrådet (framh. av Lærarskulerådet)
fre.,"Sivertsen, som er ankommet hid til Namsos fre. den 26. april med Kullast fra England, hvilket han har"
frk.,"Dette er ingen tigger, herr Reimfelt. Det er frk. Bøchmann som er kommet. "
fung.,"Men fung. forskningsdirektør Torger Hetland i Statoil inviterte i går til dialog om utbyggingen, og miljøaktivistene har takket ja"
fv.,Nord for Hauge i Dalane går den smale og til dels svingete fv. 501 til Heskestad
fvt.,Helt siden yogien Patanjali sannsynligvis skrev Yoga sutra mellom 200 fvt. - 200 evt. har det vært et grunnleggende verk
g.,"som husmann i Kåsa, g. 03.01.1831 m. Gunhild Tollefsdtr., f. 04.06.1806 i Orebakken"
g.m.,"1875, g. m. Hans Kiil Kristensen, se bruk nr. 4, Stornes"
gl.,"1654 (1214 år gl. i 1666), Malis barn, bosted Gorsettrøa"
gno.,"Første lekken i namnet vert knytt til gno. adj. svalr, dss. sval, kjølig, og vert"
gnr.,"Se under gnr. 54, husmannsplasser i Kilen."
grl.,"av Kongen i statsråd (regjeringen), jf. grl. § 21. Utnevnelse skjer vanligvis etter at embetet har vært"
gt.,Dei var busette i Petersborg gt. i Trondheim og Anton var fabrikkarbeidar på gjærfabrikk.
h.r.adv.,Hospitalsstyret gav i 1934 h.r.adv. Dahl fullmakt til å anke byrettsdommen til høyesterett når det gjaldt det årlige bidraget til
h.v.,"to ganger til, «det siste på straffespark, flott innsatt av h.v. Lura, og vant"
hhv.,Man kan vanskelig rettferdiggjøre en tilfeldig loddtrekning mellom bam til hhv. tiltaks- og kontrollgrupper når alle åpenbart har behov for
hoh.,"Trykket fra det planlagte anlegget ble basert på Reservedammens hoh., den såkalte kotehøyden. Med 93 meter"
Hr.,"Hun var det, medgir Hr. Miiller. Han pusser nesen. Det var så mye teater ved henne,"
hvv.,"Det vart sett ei maksimumgrense for kvadratmeter per kjøpesenter, hvv. 1000 og 1200 kvadratmeter. Ein tysk delstat,"
hå.,heldt fram med å krangle inn i det nye hå. om kva slags land Noreg no skulle vere. Dei
i.e.,"Central to a dynamic understanding of adolescence (i.e., the period when going from childhood into a more matured"
ib.,Beret Pedersd ib. hos Foræl: Foreldrene var Erik Olsson Og Ingeborg Jensdotter
ibid.,Beret Pedersd ibid. hos Foræl: Foreldrene var Erik Olsson Og Ingeborg Jensdotter
ifb.,"Det er jo en del engstelse ifb. med å skulle gi seg i kast med helt nye ting, særlig"
ifbm.,"Det er jo en del engstelse ifbm. å skulle gi seg i kast med helt nye ting, særlig"
ifm.,"Vurdere om en terskel for hva fylkesmannen kan kreve av opplysninger ifm. tilsyn er en god løsning, og"
ift.,Familievoldens typiske karakter må sies å være hovedproblemet ift. bevissituasjonen; volden er ofte skjult fra omverdenen og medfører ofte
iht.,Strikk mønster iht. diagram over de midterste 58 (58) 58 (68) 68 (68) m
ila.,"Andelen av dafnier i de pelagiske prøvene har variert en del ila. undersøkelsesperioden fra 2018 til 2020, der"
ill.,som idag tilhører Canica Kunstsamling (se ill. XX og kat. nr. 33).
ing.,"juni fikk vi uventet besøk av våre gamle venner fra Washington, professor Haavelmoe, ing. Skjelmerud, og vi"
inkl.,"Dei variable kostnadene auka med 8 prosent, medan dei faste kostnadene inkl. avskrivingar gjekk ned med 1 prosent"
innb.,Sammenslåtte kommuner Kommunale vannverk før sammenslåing innb. tilknyttet Kommunale vannverk etter sammenlåing Vannproduksjon fra vannverk Innbygg.
inst.,Satsane skal dg haldast vedlike ved at satsane blir samanlikna med større endringar som gjerast i Statens inst. for forbruksforskning
ism.,Dette er tekst før ism. og etter forkortelsen.
istf.,"skrev fødselsdatoen sin istf. dagens dato i gjesteboken i Casa di Raffaello i går, jeg for min del skrev"
jan.,"Organisering av kriminalomsorgen, datert 1. jan. 2014"
jf.,"Helsedirektoratet behandlingsansvarlig, jf. personvernforordningen 6 artikkel 4 nr. 7."
jfr.,"tilknyttet tidligere eiers forsømte vedlikeholds er fortsatt gjeldende, jfr. den henvisningen til dommen i den ovenfor refererte Christensen-dommen."
jnr.,"juli 1980 jnr. 1181/80-E, inntatt i Matheson/Woxholth I s. 230."
jr.,"holdt pastor Martin Luther King, jr. sin inspirerende «I have a dream»-tale."
jul.,"Organisering av kriminalomsorgen, datert 1. jul. 2014"
jun.,"Organisering av kriminalomsorgen, datert 1. jun. 2014"
jur.,"Det kunne gjelde persontreff, jur. bistand vedrørende eiendom, kjøp eller salg, legehjelp."
kap.,"Disse spørsmålene vil hovedsakelig bli besvart ut fra analysen i kap. 6, men vi har også vært inne"
Kfr.,Den hardt rammede patient har øyeblikkelig behov av garanti for advokatbistand. Kfr. tidligere skriv.
kgl.res.,Ved kgl.res. av 9. mars 1867 ble det fra Kirkedepartementet slått fast at
kl.,"Normalarbeidsdagen (kontortida) er fra kl. 8.00 til 15.30, og inkluderer pauser som er regnet inn i arbeidstida"
komm.,april 1944 med signaturen «Norges Komm. parti i Sverige».
kst.,"Skien byrett for dommerfullmektig Brunsvig. Det var tidl. kst. telegrafbestyrer i Skien, Thorleif Eldrings tur denne gangen"
kto.,Beløpet skal settes på en egen kto. der begge må godkjenne uttak. Beløpet kan være opp til 6 måneders
kv.,Tall fra Statistisk sentralbyrå viser at det i tredje kv. 2014 ble gitt færre igangsettingstillatelser til bygging av boliger enn
l.c.,"Enhver som blir pågrepet eller berøvet friheten i samsvar med bestemmelsene i avsnitt l.c. i denne artikkel, skal straks"
lau.,Sørgåande post gjekk frå Molde til Bergen kvar lau. kl. 9 og skulle etter tidstabellen vere på Kirkhorn
lib.,til begrenset mengde (80% av ad lib.: blå stolper). Det var samtidig en sterk korrelasjon
lnr.,Til sikkerhet for arven pantsatte han lnr. 37b og 38a3 i Kjøyda. Jordegodset hadde en skyld på
loc.cit.,Kirsti Strøm Bull og Peter Lødrup loc.cit. som begge kategorisk gir uttrykk for at overføringen må
lt.,Dette er tekst før lt. og etter forkortelsen.
lø.,"Sivertsen, som er ankommet hid til Namsos lø. den 26. april med Kullast fra England, hvilket han har"
lør.,"Sivertsen, som er ankommet hid til Namsos lør. den 26. april med Kullast fra England, hvilket han har"
m.a.,"november hadde dei vore på Glesnesholmen og kjøpt m.a. nokre tynner korn , og starta på returen"
m.a.o.,"Vi beregner standard tilvirkningsTwrkost for Alfa og Beta, m.a.o. standardkalkylen basert på bidragsprinsippet:"
mar.,"Organisering av kriminalomsorgen, datert 1. mar. 2014"
m.m.,"Jeg har drevet paa med at skrive af alle meteorologiske observationer og vandundersøgelser m.m. paa tyndt,"
m.o.t.,"Såfremt det ikke mellom kjøper og selger foreligger spesialkontrakt m.o.t. skur og kvalitet, måles"
m.sv.,Dette er tekst før m.sv. og etter forkortelsen.
ma.,"Sivertsen, som er ankommet hid til Namsos ma. den 26. april med Kullast fra England, hvilket han har"
mag.,"Moe Tore Lande: Omstreifande grupper i Noreg. Mag. gradsavh. i etnologi, univ. I Oslo"
mag.art.,"Prosjektleder mag.art. Karin Hellandsjø, Romsdalsmuseet direktør Jarle Sanden og museets håndverkere Lyder Hesthol og Øyvind Vestad, papirkonservator"
maks.,Maks. gjennomsnittlig lufthastighet er basert på en turbulensintensitet på 40% og en lufttemperatur lik operativ temperatur
man.,"Sivertsen, som er ankommet hid til Namsos man. den 26. april med Kullast fra England, hvilket han har"
mao.,"Forutsetningen er gode forberedelser, god gjennomgang av hva det går ut på, absolutt frivillighet, mao. at personalet"
max.,"Speidersluppen TRITON var i meget dårlig forfatning, anslått kostnad for reparasjon på max. Kr. 10000,- var"
md.,"Inntekter av januar md. mottatt ellevte januar personlig av Nicolaus de Valla hos kammerklerken, til kvittering"
med.,Dette gjelder fremfor alt i behandlingssituasjoner og i med. forskning der autonomi uttrykkes gjennom prinsippet om informert samtykke
mek.,"De to på fløyen representerte Akers mek., som bygde motorene på lisens på Tjuvholmen. Hvis Nick skulle karakterisere"
mfl.,"la vekten på forfatteren og nasjonen (Francis Bull mfl.), de yngre lærerne på seksti- og syttitallet fikle"
mht.,"Etter å ha klassifisert elven mht. elveklasser og substrat, vil vi med hulromskapasitet-analyser kunne foreta en helhetlig vurdering for"
mil.,"et oversiktlig gatenett , hvor mil. effektivitet kan utøves overfor fienden eller opprørske folkemassen Vi er urbiser i byer anlagt"
mill.,"Dessuten var det 5,2 mill. palestinske flyktninger og 3,2 mill., asylsøkere med uavklart status."
min.,Kaldforming av konstruksjonsstål er egnet uten at sprekkdannelser oppstår når min. bøyeradius gitt i tabeller i de ulike standardene følges
mm.,"som skal klaffe her både med vær, tid mm. Men det er både utfordrande og fascinerande. Og dei"
mnd.,Innkallinga skal sendast skriftleg til einskildlaga med sakliste minst 1 mnd. før årsmøtet.
mob.,E-post ter.lovaas@gmail eller mob. 47611813 For styret Terje Løvaas
mod.,Dette er tekst før mod. og etter forkortelsen.
moh.,Fjorden er trang med bratte dalsider opp mot 300 moh. på vestsiden og 900 moh. på det høyeste innerst over
mrd.,omsorgsboliger med en samlet kostnad over statsbudsjettet på 6 mrd. kroner i perioden 2008-2015.
ms.,Fødselsdagstalen finnes som håndskrevet ms. i Slottets arkiv. Den bærer i sitt ordvalg og syntaks helt og holdent preg
mtp.,Nedstrøms kulverten under fylkesveien har veieier pusset opp cirka 10 meter av bekken mtp. ørret og lagt ut stein
muh.,Per dags dato ligger det 420 muh. Vannstanden har sunket i snitt én meter per år de siste tiårene og
mv.,"til informasjon om kritisk infrastruktur, nøkler, tegninger mv. kan bli bestukket av en kriminell aktør for å gi"
mva.,gir bedriftens salgspris til neste bedrift i kjeden. Mva. på salgsprisen (utgående avgift) minus mva. på
må.,Sørgåande post gjekk frå Molde til Bergen kvar må. kl. 9 og skulle etter tidstabellen vere på Kirkhorn
n.br.,regjeringen blitt stående ved at en åpning nord for 62 grader n.br. bør starte i Nord-Norge
n.å.,"Garantiavsetningen skal inntektsføres n.å., samtidig som faktiske kostnader og ny avsetning kostnadsføres."
ndf.,Se nærmere ndf. i punkt 3.3.1.5 og 3.3.5.
no.,"Ut av det voks Norwegian Independent Company no. 1, som etter krigen vart kjent som kompani Linge."
nov.,"Organisering av kriminalomsorgen, datert 1. nov. 2014"
nr.,"vart ho likevel nr. 2 (1,81). Nr. 3 var Hanne Haugland,"
nto.,Gjenvinnbart beløp er det høyeste av nto. salgsverdi og verdi i bruk. Verdi i bruk er nåverdi av fremtidige
nyno.,Dette er en nyno. utgave av
nn.,Dette er en nn. utgave av
o.a.,Likevel vart dåp o.a. i dissentarkyrkjelydar registrerte i prestane sine kyrkjebøker ei tid framover.
o.l.,"trykket brevark, regningsblokker, konvolutter, visittkort o.l. med egen firmaprofil. "
obs.,Obs. fare for hypotermi i denne pasientgruppe!
off.,Kapittelet etterlyser en helhetlig tilnærming til bærekraft i off. forvaltning.
ofl.,Støstad ofl. med ham - som stats- og forsvarsminister - var sterkt i tvil. 
okt.,"Organisering av kriminalomsorgen, datert 1. okt. 2014"
on.,"Sivertsen, som er ankommet hid til Namsos on. den 26. april med Kullast fra England, hvilket han har"
ons.,"Sivertsen, som er ankommet hid til Namsos ons. den 26. april med Kullast fra England, hvilket han har"
op.,"Goulard, Sylvie og Monti, Mario: Op. cit. s. 44. Forfatterne siterer Financial Times"
org.nr.,februar 1995 med org.nr. 959 316 201 av Athea AS som hadde 99% eierandel og
osb.,"mørk materie? Korleis oppstod eigentleg big bang? Osb., osb., osb.), og i den"
osv.,"fra nervetrådenc, iskremens videre ferd ned i magen osv., men det er noe annet enn å beskrive den"
ot.prp.,Ot.prp. nr. 55 (1968—69) Om endringer i lov om sparebanker av 24. mai 1961.
ovf.,"Anders Olson Ljones (1620-76), må vera son til Ola Andersson ovf. og tok ombodet etter"
p.,"Some sensory cells (secondary sensory cells, p. 187) lack axons and form synapses with the sensory nerve"
p.a.,"B tilkjennes saksomkostning for alle retter, med tillegg av 12 % morarente p.a. fra dommenes oppfyllelsestidspunkt til"
p.m.,"to 12 p.m., and so on. Then the regulations usually impose a limit on the number of"
p.nr.,En ansatts opprinnelige p.nr. blir kun «lagret» på hans opprinnelige ansettelsessøknad - søknader som bestandig blir kopiert til mikrokort og
p.p.,is Latin per pro or per procurationem. p.p. is used when someone signs a letter by authority or
p.s.,p.s. Jeg liker at du behandler lommene dine sånn som jeg behandler bilen min.
p.t.,Molde og videre til teatersjef i Trondheim. P.t. bekledde han stillingen som direktør for Den Norske
pb.,"Samuel Jacobson, pb. 209, Drammen."
pga.,stormaktssenter i førhistorisk høvelege stader der feet kunne tid pga. det rike jordbruks-beita. Det var farande folk samfunnet
ph.d.,"Sykepleier, ph.d. med spesialisering innen geriatri og demens. Hun har arbeidet mange år med temaer innen feltet demens"
phd.,"Sykepleier, phd. med spesialisering innen geriatri og demens. Hun har arbeidet mange år med temaer innen feltet demens"
pharm.,"Det var cand, pharm., handelsmann, bankkasserer og direktør Henrich Oluf Andreas Magnus Zetlitz"
philol.,"Gundersen er oversetter og manuskonsulent. Gundersen er cand. philol. med hovedfag i latinamerikansk litteratur, spansk språk og latinamerikastudier"
pkt.,og i henhold til gjeldende lover og bestemmelser. Pkt. 14.6 har således det motsatte utgangspunkt som
pr.,å det kunne bare brukes 10 til 12 uker pr. år. Men da gikk det til gjengjeld døgnet rundt
prop.,Forarbeider er Prop. 1 LS (2010-2011). Om bakgrunnen for bestemmelsen sier FIN
pst.,På teknologiske fag (integrert master) er 5 pst. av studieplassene reservert for samiske søkere.
r.,Dette er tekst før r. og etter forkortelsen.
red.,"Munch deltok i nyttårsfeiringen 1889 hos familien Lie (Munch red. 1949, 81). Høsten 1889 var i"
red.anm.,"grunnskolen, kan klagast til statens utdanningskontor (red.anm.: Nå fylkesmannen), jf opplæringslova §15"
red.mrk.,Dette er tekst før red.mrk. og etter forkortelsen.
ref.,"relasjoner til den mangfoldige, men uklare Hjemmefronten, ref. kompani Linge, sabotasjeaksjoner innen LARK som Lapwing, Rype"
reg.,"antall økologiske bruk med reg. priser Konvensjonelle bruk Økologiske bruk 2014 2010 2014 2010 Melk - ku 31 5,36 5,07"
rek.,Rek. brev sendt fra Torsken poståpneri i Troms 19. juli 1947. Ett rødt postoblat med to fiolette avtrykk av
res.,"Iflg. res. 21 juni 2013 nr. 730 trådte loven ikr. 20 aug 2013, med unntak"
res.kap.,"Dahll, res.kap. til Asker, død 1832, og Hanna H. D. Dahll,"
resp.,Age at invitation to sigmoidoscopy resp. at invitation to the FIT test that was followed by colonoscopy
rv.,Husatunnelen på rv. 13 ble drevet i 1957. Her ble det boret med knematerfra røysa.
s.,"Etter tabellar på s. 498-499 i Furre, Berge, Norsk historie 1905-1990,"
s.d.,med den såkalte Manitoban-ekspedisjonen i 1898 (s.d.). Susanna Johansdatter ble senere gift med Aslak Tornensis
s.k.,"Hon hade ett riktigt gammaldags stort brollop, med spelmån från de s.k. ”Spilledrenge” i Gråstensmark, med pyntad pråstgård"
s.m.,"Eva Nilsen, født 1957, s.m. Odd og bosatt tomt av eiendommen."
s.u.,Dette er tekst før s.u. og etter forkortelsen.
s.å.,"november s.å., nestkommanderende ved minesveiperdivisjon Nord-Norge til 6. mai 1946» og senere gruppesjef"
sek.,"Rykningene varer vanligvis 30-60 sek. Under anfallet er det vanlig at pas. slutter å puste, blir"
sen.,"Det er en unik gjenstand, laget av Bouchet sen. hvis jeg måtte gjette, en virkelig kunstner."
sep.,Funnet sep. 2015 i slåttemark.
sign.,"mai 1953, sign. Kaare Schumann Andersen"
siv.ing.,"Det var sånn han hadde fått kallenavnet sitt, fra forkortelsen i telefonkatalogen, siv.ing. ble Sivving i bygdefolkets munner"
sj.,Dette er tekst før sj. og etter forkortelsen.
sms.,"Norsk, nyere sms. av Siri og etterleddet -il , som i andre navn."
sos.,"kjente med oss sjølve, som eg — inspirert av sos.ant.-venninnene mine — brukte å seie, ikkje utan ein viss"
sos.øk.,"Utilitarismen og hele vår nåtidige sos.øk. samt motevitenskapen biologi, betrakter mennesket under denne synsvinkelen. Argumentet er ikke egnet"
sp.,"denne opplevelsen, som kom til å føde salmen «Styr du min vandring» (Aanestad 1965 sp. 991)."
spm.,Spener (1728) forklarer katekismens syn på kvinnens rolle i spm. 1253 (s. 611).
sr.,"Det er en unik gjenstand, laget av Bouchet sr. hvis jeg måtte gjette, en virkelig kunstner."
sst.,"Anbudsprosessen skal følge Lov om offentlige anskaffelser (sst.). FB Utvikling, bruker og FB Utleie lager deretter"
st.,Nær Rånåsfoss st. på Kongsvingerbanen ble det oppført boliger for de ansatte. Thorvald Astrup tegnet boligene sammen med arkitekt
st.meld.,Rapporten ble vedlagt den etterfølgende st.meld. nr. 24 (1989-90) om Sparebanken Nord-Norge.
st.prp.,St.prp. nr. I (2005-2006). Utdannings- og forskingsdepartementet. 
stip.,"Guro Pauck Bernhardsen, stip. ved Seksjon for idrettsmedisinske fag."
stk.,Bekendtgørelse om overtagelsestilbud § 4 stk. 1. Tilbyder skal deretter så raskt som mulig og senest innen fire uker etter offentliggjøringen
stp.,"Ellen er 26 år, allmennlærer med 60 stp. kunst og håndverk, og nyutdannet lærer uten fast arbeid"
str.,Tornene stod så tett at moen vart likna innåt ei hekle (sjå heklemog i str. 46).
strpl.,hensyn som kommer i betraktning har loven ikke. Strpl. av 1887 nevnte i sin opprinnelige form særlig de
stud.,"Det ble en hyggelig aften, helt til denne nye stud. philol-en fra Voss begynte å diskutere landsmål."
stv.,"en grønn Cortina stv. med registreringsnummer YFN 469 K – nær nok nummeret han så etter, til at han"
